platform,customer_id,customer_city,customer_state,customer_pincode,customer_registration_date,customer_segment
Zepto,C00001,Delhi,Delhi,,2024-11-23,
Zepto,C00002,Delhi,Delhi,,2023-08-12,
Zepto,C00003,Jaipur,Rajasthan,,2024-03-05,
Zepto,C00004,Bengaluru,Karnataka,,2024-12-15,
Zepto,C00005,Delhi,Delhi,,2023-04-05,
Zepto,C00006,Chennai,Tamil Nadu,,2023-02-14,
Zepto,C00007,Delhi,Delhi,,2024-07-19,
Zepto,C00008,Mumbai,Maharashtra,,2024-11-08,
Zepto,C00009,Kolkata,West Bengal,,2023-10-12,
Zepto,C00010,Chennai,Tamil Nadu,,2024-12-19,
Zepto,C00011,Bengaluru,Karnataka,,2024-04-18,
Zepto,C00012,Mumbai,Maharashtra,,2023-08-23,
Zepto,C00013,Lucknow,Uttar Pradesh,,2023-11-19,
Zepto,C00014,Ahmedabad,Gujarat,,2023-05-27,
Zepto,C00015,Chennai,Tamil Nadu,,2024-08-21,
Zepto,C00016,Jaipur,Rajasthan,,2024-05-20,
Zepto,C00017,Kolkata,West Bengal,,2024-09-02,
Zepto,C00018,Jaipur,Rajasthan,,2023-09-15,
Zepto,C00019,Chennai,Tamil Nadu,,2024-10-18,
Zepto,C00020,Mumbai,Maharashtra,,2023-09-27,
Zepto,C00021,Chennai,Tamil Nadu,,2024-10-16,
Zepto,C00022,Jaipur,Rajasthan,,2024-06-27,
Zepto,C00023,Pune,Maharashtra,,2023-11-11,
Zepto,C00024,Delhi,Delhi,,2024-05-12,
Zepto,C00025,Jaipur,Rajasthan,,2023-06-19,
Zepto,C00026,Jaipur,Rajasthan,,2024-12-07,
Zepto,C00027,Pune,Maharashtra,,2024-03-24,
Zepto,C00028,Pune,Maharashtra,,2023-01-22,
Zepto,C00029,Delhi,Delhi,,2024-12-25,
Zepto,C00030,Delhi,Delhi,,2024-06-10,
Zepto,C00031,Lucknow,Uttar Pradesh,,2024-08-13,
Zepto,C00032,Delhi,Delhi,,2023-04-10,
Zepto,C00033,Delhi,Delhi,,2023-03-04,
Zepto,C00034,Jaipur,Rajasthan,,2024-04-04,
Zepto,C00035,Delhi,Delhi,,2024-03-29,
Zepto,C00036,Mumbai,Maharashtra,,2023-04-06,
Zepto,C00037,Kolkata,West Bengal,,2023-03-02,
Zepto,C00038,Ahmedabad,Gujarat,,2023-10-20,
Zepto,C00039,Hyderabad,Telangana,,2023-03-01,
Zepto,C00040,Mumbai,Maharashtra,,2024-08-21,
Zepto,C00041,Delhi,Delhi,,2023-07-10,
Zepto,C00042,Kolkata,West Bengal,,2023-05-03,
