platform,delivery_id,delivery_partner_id,order_id,delivery_time_minutes,distance_km,delivery_status,order_status,actual_delivery_datetime,promised_delivery_datetime,delay_reason
Zepto,D000001,,O000001,52,5.0,Late,,,,
Zepto,D000002,,O000002,66,6.5,Late,,,,
Zepto,D000003,,O000003,31,6.5,On Time,,,,
Zepto,D000004,,O000004,68,7.7,On Time,,,,
Zepto,D000005,,O000005,44,7.1,Late,,,,
Zepto,D000006,,O000006,45,6.3,On Time,,,,
Zepto,D000007,,O000007,5,2.0,On Time,,,,
Zepto,D000008,,O000008,25,1.4,Late,,,,
Zepto,D000009,,O000009,45,6.7,Late,,,,
Zepto,D000010,,O000010,39,8.3,On Time,,,,
Zepto,D000011,,O000011,72,8.8,Late,,,,
Zepto,D000012,,O000012,52,7.6,On Time,,,,
Zepto,D000013,,O000013,63,8.3,Late,,,,
Zepto,D000014,,O000014,26,3.6,On Time,,,,
Zepto,D000015,,O000015,38,3.0,Late,,,,
Zepto,D000016,,O000016,54,5.3,Late,,,,
Zepto,D000017,,O000017,7,0.7,On Time,,,,
Zepto,D000018,,O000018,35,3.7,Late,,,,
Zepto,D000019,,O000019,11,0.6,Late,,,,
Zepto,D000020,,O000020,44,5.1,Late,,,,
Zepto,D000021,,O000021,57,8.4,On Time,,,,
Zepto,D000022,,O000022,26,2.8,On Time,,,,
Zepto,D000023,,O000023,90,9.6,Late,,,,
Zepto,D000024,,O000024,80,9.3,Late,,,,
Zepto,D000025,,O000025,89,9.9,On Time,,,,
Zepto,D000026,,O000026,12,2.1,On Time,,,,
Zepto,D000027,,O000027,29,2.4,Late,,,,
Zepto,D000028,,O000028,44,7.4,On Time,,,,
Zepto,D000029,,O000029,44,4.7,Late,,,,
Zepto,D000030,,O000030,80,8.5,Late,,,,
Zepto,D000031,,O000031,5,0.9,On Time,,,,
Zepto,D000032,,O000032,68,8.1,Late,,,,
Zepto,D000033,,O000033,5,1.0,On Time,,,,
Zepto,D000034,,O000034,29,2.8,Late,,,,
Zepto,D000035,,O000035,70,9.8,On Time,,,,
Zepto,D000036,,O000036,66,6.8,Late,,,,
Zepto,D000037,,O000037,16,3.2,On Time,,,,
Zepto,D000038,,O000038,92,8.5,Late,,,,
Zepto,D000039,,O000039,30,2.0,Late,,,,
Zepto,D000040,,O000040,55,8.4,Late,,,,
Zepto,D000041,,O000041,41,5.6,Late,,,,
Zepto,D000042,,O000042,34,5.4,On Time,,,,
Zepto,D000043,,O000043,32,1.9,Late,,,,
Zepto,D000044,,O000044,53,7.1,On Time,,,,
Zepto,D000045,,O000045,56,6.8,Late,,,,
Zepto,D000046,,O000046,39,5.8,Late,,,,
Zepto,D000047,,O000047,55,4.9,Late,,,,
Zepto,D000048,,O000048,28,1.6,Late,,,,
Zepto,D000049,,O000049,9,1.8,On Time,,,,
Zepto,D000050,,O000050,60,7.0,Late,,,,
Zepto,D000051,,O000051,36,5.1,On Time,,,,
Zepto,D000052,,O000052,23,5.6,On Time,,,,
Zepto,D000053,,O000053,26,3.6,On Time,,,,
Zepto,D000054,,O000054,71,9.1,On Time,,,,
Zepto,D000055,,O000055,16,3.2,On Time,,,,
Zepto,D000056,,O000056,49,4.3,Late,,,,
Zepto,D000057,,O000057,56,5.2,Late,,,,
Zepto,D000058,,O000058,29,5.8,On Time,,,,
Zepto,D000059,,O000059,41,6.5,Late,,,,
Zepto,D000060,,O000060,27,2.6,Late,,,,
Zepto,D000061,,O000061,73,7.8,Late,,,,
Zepto,D000062,,O000062,42,4.8,On Time,,,,
Zepto,D000063,,O000063,57,6.9,Late,,,,
Zepto,D000064,,O000064,44,4.3,Late,,,,
Zepto,D000065,,O000065,21,1.6,Late,,,,
