platform,order_id,customer_id,product_id,store_id,order_datetime,quantity,order_value,discount_applied,order_status,payment_method_id,time_of_day
Zepto,O000001,C09732,,,2024-03-24,,,,Delivered,,
Zepto,O000002,C06239,,,2023-06-27,,,,Delivered,,
Zepto,O000003,C08023,,,2023-04-07,,,,Delivered,,
Zepto,O000004,C01051,,,2024-03-19,,,,Cancelled,,
Zepto,O000005,C02847,,,2024-02-21,,,,Delivered,,
Zepto,O000006,C05957,,,2024-08-17,,,,Delivered,,
Zepto,O000007,C00891,,,2024-03-31,,,,Delivered,,
Zepto,O000008,C02648,,,2023-04-24,,,,Out For Delivery,,
Zepto,O000009,C02262,,,2024-04-07,,,,Delivered,,
Zepto,O000010,C02304,,,2023-03-29,,,,Cancelled,,
Zepto,O000011,C02021,,,2024-09-27,,,,Cancelled,,
Zepto,O000012,C00312,,,2024-09-13,,,,Cancelled,,
Zepto,O000013,C02519,,,2024-04-14,,,,Delivered,,
Zepto,O000014,C07026,,,2024-05-01,,,,Delivered,,
Zepto,O000015,C04141,,,2024-08-04,,,,Delivered,,
Zepto,O000016,C09080,,,2023-09-23,,,,Delivered,,
Zepto,O000017,C07999,,,2024-06-16,,,,Delivered,,
Zepto,O000018,C01512,,,2024-04-03,,,,Delivered,,
Zepto,O000019,C04584,,,2023-01-10,,,,Delivered,,
Zepto,O000020,C08879,,,2023-12-23,,,,Returned,,
Zepto,O000021,C01851,,,2023-05-12,,,,Delivered,,
Zepto,O000022,C01735,,,2023-05-10,,,,Delivered,,
Zepto,O000023,C08395,,,2024-05-02,,,,Cancelled,,
Zepto,O000024,C07699,,,2023-01-13,,,,Delivered,,
Zepto,O000025,C04362,,,2024-09-25,,,,Delivered,,
Zepto,O000026,C08229,,,2024-04-12,,,,Delivered,,
Zepto,O000027,C06014,,,2024-06-22,,,,Delivered,,
Zepto,O000028,C09960,,,2023-05-09,,,,Delivered,,
Zepto,O000029,C08072,,,2024-07-22,,,,Cancelled,,
Zepto,O000030,C02381,,,2024-12-04,,,,Delivered,,
Zepto,O000031,C08291,,,2023-08-28,,,,Delivered,,
Zepto,O000032,C09231,,,2024-12-02,,,,Delivered,,
Zepto,O000033,C09681,,,2024-05-18,,,,Returned,,
Zepto,O000034,C09473,,,2023-08-08,,,,Delivered,,
Zepto,O000035,C06891,,,2023-09-30,,,,Delivered,,
Zepto,O000036,C05179,,,2023-03-11,,,,Delivered,,
Zepto,O000037,C02190,,,2024-12-25,,,,Cancelled,,
Zepto,O000038,C01091,,,2023-01-08,,,,Delivered,,
Zepto,O000039,C01086,,,2023-05-19,,,,Delivered,,
Zepto,O000040,C02473,,,2024-05-05,,,,Delivered,,
Zepto,O000041,C06186,,,2024-11-05,,,,Returned,,
Zepto,O000042,C03132,,,2024-09-13,,,,Delivered,,
Zepto,O000043,C09183,,,2024-12-20,,,,Delivered,,
Zepto,O000044,C08043,,,2024-03-14,,,,Delivered,,
Zepto,O000045,C07654,,,2023-08-22,,,,Out For Delivery,,
Zepto,O000046,C02570,,,2024-03-07,,,,Delivered,,
Zepto,O000047,C05032,,,2023-06-15,,,,Delivered,,
Zepto,O000048,C06802,,,2024-04-05,,,,Delivered,,
Zepto,O000049,C00455,,,2023-03-31,,,,Delivered,,
Zepto,O000050,C02179,,,2023-07-26,,,,Delivered,,
Zepto,O000051,C02242,,,2024-05-12,,,,Delivered,,
Zepto,O000052,C04387,,,2023-09-03,,,,Delivered,,
Zepto,O000053,C07500,,,2023-03-16,,,,Delivered,,
Zepto,O000054,C06654,,,2023-05-26,,,,Delivered,,
Zepto,O000055,C07951,,,2024-02-15,,,,Delivered,,
Zepto,O000056,C07878,,,2024-06-25,,,,Delivered,,
Zepto,O000057,C05040,,,2024-06-18,,,,Delivered,,
Zepto,O000058,C05167,,,2024-01-29,,,,Delivered,,
Zepto,O000059,C01929,,,2023-08-23,,,,Delivered,,
Zepto,O000060,C00383,,,2024-02-15,,,,Delivered,,
Zepto,O000061,C00727,,,2023-06-07,,,,Delivered,,
Zepto,O000062,C08127,,,2023-05-27,,,,Delivered,,
Zepto,O000063,C05465,,,2023-05-01,,,,Delivered,,
Zepto,O000064,C05812,,,2024-02-25,,,,Delivered,,
Zepto,O000065,C09700,,,2023-02-23,,,,Delivered,,
Zepto,O000066,C04268,,,2024-06-16,,,,Delivered,,
Zepto,O000067,C09086,,,2023-03-15,,,,Delivered,,
Zepto,O000068,C07031,,,2024-10-03,,,,Delivered,,
Zepto,O000069,C09727,,,2024-01-09,,,,Delivered,,
Zepto,O000070,C03343,,,2024-10-18,,,,Delivered,,
Zepto,O000071,C03563,,,2024-11-29,,,,Cancelled,,
Zepto,O000072,C07045,,,2023-06-25,,,,Out For Delivery,,
Zepto,O000073,C07780,,,2023-11-27,,,,Delivered,,
Zepto,O000074,C04816,,,2023-08-03,,,,Delivered,,
Zepto,O000075,C03029,,,2024-03-05,,,,Delivered,,
Zepto,O000076,C02595,,,2024-05-08,,,,Delivered,,
Zepto,O000077,C06375,,,2024-12-19,,,,Returned,,
Zepto,O000078,C04641,,,2023-02-26,,,,Delivered,,
Zepto,O000079,C08466,,,2023-07-29,,,,Out For Delivery,,
Zepto,O000080,C05503,,,2024-09-01,,,,Delivered,,
Zepto,O000081,C04242,,,2024-01-01,,,,Delivered,,
Zepto,O000082,C00892,,,2023-05-28,,,,Delivered,,
Zepto,O000083,C00299,,,2024-04-27,,,,Delivered,,
Zepto,O000084,C01068,,,2023-02-14,,,,Delivered,,
Zepto,O000085,C06176,,,2023-11-10,,,,Delivered,,
Zepto,O000086,C00367,,,2024-02-27,,,,Delivered,,
Zepto,O000087,C05006,,,2023-04-19,,,,Delivered,,
Zepto,O000088,C06308,,,2024-05-22,,,,Delivered,,
Zepto,O000089,C02149,,,2023-10-21,,,,Delivered,,
Zepto,O000090,C08796,,,2024-05-22,,,,Delivered,,
Zepto,O000091,C01632,,,2023-11-20,,,,Delivered,,
Zepto,O000092,C06059,,,2023-01-18,,,,Delivered,,
Zepto,O000093,C08059,,,2024-02-29,,,,Delivered,,
Zepto,O000094,C09470,,,2024-01-21,,,,Delivered,,
Zepto,O000095,C09377,,,2023-07-07,,,,Delivered,,
Zepto,O000096,C09092,,,2023-05-03,,,,Delivered,,
Zepto,O000097,C05089,,,2023-06-20,,,,Cancelled,,
Zepto,O000098,C01012,,,2023-10-17,,,,Delivered,,
Zepto,O000099,C06563,,,2024-01-10,,,,Delivered,,
Zepto,O000100,C05298,,,2023-03-23,,,,Delivered,,
Zepto,O000101,C01223,,,2024-12-30,,,,Out For Delivery,,
Zepto,O000102,C06984,,,2023-02-21,,,,Delivered,,
Zepto,O000103,C02902,,,2024-12-26,,,,Delivered,,
Zepto,O000104,C06997,,,2024-11-28,,,,Out For Delivery,,
Zepto,O000105,C05422,,,2024-12-29,,,,Delivered,,
Zepto,O000106,C09771,,,2024-09-25,,,,Delivered,,
Zepto,O000107,C06152,,,2023-05-18,,,,Delivered,,
Zepto,O000108,C04556,,,2023-04-10,,,,Returned,,
Zepto,O000109,C08900,,,2024-11-04,,,,Delivered,,
Zepto,O000110,C04949,,,2024-06-19,,,,Delivered,,
Zepto,O000111,C00696,,,2024-07-04,,,,Delivered,,
Zepto,O000112,C06378,,,2024-01-05,,,,Out For Delivery,,
Zepto,O000113,C09150,,,2024-01-27,,,,Delivered,,
Zepto,O000114,C06675,,,2024-09-19,,,,Delivered,,
Zepto,O000115,C01909,,,2024-12-09,,,,Delivered,,
Zepto,O000116,C09546,,,2023-08-16,,,,Cancelled,,
Zepto,O000117,C06250,,,2024-07-05,,,,Delivered,,
