platform,product_id,product_name,category,sub_category,brand,price,mrp,shelf_life_days
Zepto,P00001,Daily Dishwash 1kg,Household,Dishwash,,250.0,,
Zepto,P00002,Quick Apple 500g,Fruits & Vegetables,Fruits,,90.0,,
Zepto,P00003,Fresh Cashew 12 pcs,Grocery & Staples,Dry Fruits,,100.0,,
Zepto,P00004,Quick Toor Dal 500ml,Grocery & Staples,Pulses,,300.0,,
Zepto,P00005,Fresh Chocolate 1L,Snacks & Beverages,Chocolates,,180.0,,
Zepto,P00006,Fresh Tea 500ml,Snacks & Beverages,Tea,,130.0,,
Zepto,P00007,Quick Floor Cleaner 1L,Household,Floor Cleaner,,610.0,,
Zepto,P00008,Pure Tomato 1L,Fruits & Vegetables,Vegetables,,140.0,,
Zepto,P00009,Pure Banana 12 pcs,Fruits & Vegetables,Fruits,,160.0,,
Zepto,P00010,Fresh Potato 200g,Fruits & Vegetables,Vegetables,,90.0,,
Zepto,P00011,Pure Cashew 2kg,Grocery & Staples,Dry Fruits,,100.0,,
Zepto,P00012,Good Cookies 200g,Snacks & Beverages,Biscuits,,250.0,,
Zepto,P00013,Quick Cold Drink 500g,Snacks & Beverages,Soft Drinks,,160.0,,
Zepto,P00014,Daily Toor Dal 1kg,Grocery & Staples,Pulses,,370.0,,
Zepto,P00015,Happy Juice 500g,Snacks & Beverages,Juices,,140.0,,
Zepto,P00016,Urban Eggs 1L,Dairy & Breakfast,Eggs,,140.0,,
Zepto,P00017,Good Toothpaste 200g,Personal Care,Oral Care,,220.0,,
Zepto,P00018,Happy Banana 12 pcs,Fruits & Vegetables,Fruits,,220.0,,
Zepto,P00019,Good Curd 2kg,Dairy & Breakfast,Curd,,260.0,,
Zepto,P00020,Pure Cookies 1kg,Snacks & Beverages,Biscuits,,120.0,,
Zepto,P00021,Pure Eggs 200g,Dairy & Breakfast,Eggs,,40.0,,
Zepto,P00022,Green Atta 500g,Grocery & Staples,Flour,,550.0,,
Zepto,P00023,Green Potato 1L,Fruits & Vegetables,Vegetables,,240.0,,
Zepto,P00024,Urban Almonds 1L,Grocery & Staples,Dry Fruits,,390.0,,
Zepto,P00025,Fresh Bread 6 pcs,Dairy & Breakfast,Bread,,110.0,,
Zepto,P00026,Pure Tea 1L,Snacks & Beverages,Tea,,200.0,,
Zepto,P00027,Metro Eggs 12 pcs,Dairy & Breakfast,Eggs,,290.0,,
Zepto,P00028,Pure Toor Dal 1kg,Grocery & Staples,Pulses,,190.0,,
Zepto,P00029,Daily Chocolate 1L,Snacks & Beverages,Chocolates,,120.0,,
Zepto,P00030,Fresh Cold Drink 500g,Snacks & Beverages,Soft Drinks,,250.0,,
Zepto,P00031,Smart Tea 500ml,Snacks & Beverages,Tea,,220.0,,
Zepto,P00032,Daily Toothpaste 1kg,Personal Care,Oral Care,,240.0,,
Zepto,P00033,Good Tomato 1kg,Fruits & Vegetables,Vegetables,,150.0,,
Zepto,P00034,Daily Juice 1L,Snacks & Beverages,Juices,,130.0,,
Zepto,P00035,Urban Almonds 2kg,Grocery & Staples,Dry Fruits,,770.0,,
Zepto,P00036,Fresh Chocolate 12 pcs,Snacks & Beverages,Chocolates,,70.0,,
Zepto,P00037,Good Eggs 500g,Dairy & Breakfast,Eggs,,450.0,,
Zepto,P00038,Green Dishwash 1L,Household,Dishwash,,250.0,,
Zepto,P00039,Metro Namkeen 1L,Snacks & Beverages,Chips,,530.0,,
Zepto,P00040,Green Tea 1L,Snacks & Beverages,Tea,,120.0,,
Zepto,P00041,Urban Potato 6 pcs,Fruits & Vegetables,Vegetables,,280.0,,
Zepto,P00042,Quick Dishwash 1kg,Household,Dishwash,,270.0,,
Zepto,P00043,Quick Floor Cleaner 500ml,Household,Floor Cleaner,,150.0,,
Zepto,P00044,Fresh Shampoo 500ml,Personal Care,Shampoo,,270.0,,
Zepto,P00045,Smart Curd 200g,Dairy & Breakfast,Curd,,180.0,,
Zepto,P00046,Good Potato 12 pcs,Fruits & Vegetables,Vegetables,,160.0,,
Zepto,P00047,Fresh Almonds 1L,Grocery & Staples,Dry Fruits,,770.0,,
Zepto,P00048,Pure Banana 1L,Fruits & Vegetables,Fruits,,340.0,,
Zepto,P00049,Metro Atta 1L,Grocery & Staples,Flour,,540.0,,
Zepto,P00050,Pure Curd 2kg,Dairy & Breakfast,Curd,,130.0,,
Zepto,P00051,Pure Cookies 200g,Snacks & Beverages,Biscuits,,190.0,,
Zepto,P00052,Quick Potato 1L,Fruits & Vegetables,Vegetables,,80.0,,
Zepto,P00053,Good Tomato 500ml,Fruits & Vegetables,Vegetables,,300.0,,
Zepto,P00054,Metro Curd 500ml,Dairy & Breakfast,Curd,,170.0,,
Zepto,P00055,Urban Apple 1L,Fruits & Vegetables,Fruits,,60.0,,
