delivery_id,order_id,delivery_time_mins,delivery_status,distance_km
D000001,O000001,52,Delivered Late,5
D000002,O000002,66,Delivered Late,6.5
D000003,O000003,31,Delivered On Time,6.5
D000004,O000004,68,Delivered On Time,7.7
D000005,O000005,44,Delivered Late,7.1
D000006,O000006,45,Delivered On Time,6.3
D000007,O000007,5,Delivered On Time,2
D000008,O000008,25,Delivered Late,1.4
D000009,O000009,45,Delivered Late,6.7
D000010,O000010,39,Delivered On Time,8.3
D000011,O000011,72,Delivered Late,8.8
D000012,O000012,52,Delivered On Time,7.6
D000013,O000013,63,Delivered Late,8.3
D000014,O000014,26,Delivered On Time,3.6
D000015,O000015,38,Delivered Late,3
D000016,O000016,54,Delivered Late,5.3
D000017,O000017,7,Delivered On Time,0.7
D000018,O000018,35,Delivered Late,3.7
D000019,O000019,11,Delivered Late,0.6
D000020,O000020,44,Delivered Late,5.1
D000021,O000021,57,Delivered On Time,8.4
D000022,O000022,26,Delivered On Time,2.8
D000023,O000023,90,Delivered Late,9.6
D000024,O000024,80,Delivered Late,9.3
D000025,O000025,89,Delivered On Time,9.9
D000026,O000026,12,Delivered On Time,2.1
D000027,O000027,29,Delivered Late,2.4
D000028,O000028,44,Delivered On Time,7.4
D000029,O000029,44,Delivered Late,4.7
D000030,O000030,80,Delivered Late,8.5
D000031,O000031,5,Delivered On Time,0.9
D000032,O000032,68,Delivered Late,8.1
D000033,O000033,5,Delivered On Time,1
D000034,O000034,29,Delivered Late,2.8
D000035,O000035,70,Delivered On Time,9.8
D000036,O000036,66,Delivered Late,6.8
D000037,O000037,16,Delivered On Time,3.2
D000038,O000038,92,Delivered Late,8.5
D000039,O000039,30,Delivered Late,2
D000040,O000040,55,Delivered Late,8.4
D000041,O000041,41,Delivered Late,5.6
D000042,O000042,34,Delivered On Time,5.4
D000043,O000043,32,Delivered Late,1.9
D000044,O000044,53,Delivered On Time,7.1
D000045,O000045,56,Delivered Late,6.8
D000046,O000046,39,Delivered Late,5.8
D000047,O000047,55,Delivered Late,4.9
D000048,O000048,28,Delivered Late,1.6
D000049,O000049,9,Delivered On Time,1.8
D000050,O000050,60,Delivered Late,7
D000051,O000051,36,Delivered On Time,5.1
D000052,O000052,23,Delivered On Time,5.6
D000053,O000053,26,Delivered On Time,3.6
D000054,O000054,71,Delivered On Time,9.1
D000055,O000055,16,Delivered On Time,3.2
D000056,O000056,49,Delivered Late,4.3
D000057,O000057,56,Delivered Late,5.2
D000058,O000058,29,Delivered On Time,5.8
D000059,O000059,41,Delivered Late,6.5
D000060,O000060,27,Delivered Late,2.6
D000061,O000061,73,Delivered Late,7.8
D000062,O000062,42,Delivered On Time,4.8
D000063,O000063,57,Delivered Late,6.9
D000064,O000064,44,Delivered Late,4.3
D000065,O000065,21,Delivered Late,1.6
D000066,O000066,17,Delivered On Time,3
D000067,O000067,12,Delivered On Time,2.3
D000068,O000068,26,Delivered On Time,3.7
D000069,O000069,62,Delivered On Time,6.9
D000070,O000070,59,Delivered On Time,7.5
D000071,O000071,8,Delivered On Time,0.8
D000072,O000072,39,Delivered Late,4.2
D000073,O000073,58,Delivered Late,9.6
D000074,O000074,32,Delivered On Time,5.6
D000075,O000075,64,Delivered Late,8.2
D000076,O000076,24,Delivered Late,3.6
D000077,O000077,21,Delivered On Time,4.9
D000078,O000078,64,Delivered Late,7.4
D000079,O000079,5,Delivered On Time,2
D000080,O000080,44,Delivered Late,4.6
D000081,O000081,26,Delivered Late,2.2
D000082,O000082,57,Delivered Late,6.5
D000083,O000083,46,Delivered On Time,8.2
D000084,O000084,52,Delivered On Time,7.3
D000085,O000085,26,Delivered Late,2.6
D000086,O000086,64,Delivered Late,9
D000087,O000087,59,Delivered Late,5.1
D000088,O000088,59,Delivered On Time,9.3
D000089,O000089,74,Delivered On Time,8.6
D000090,O000090,56,Delivered On Time,6.9
D000091,O000091,33,Delivered Late,1.7
D000092,O000092,25,Delivered On Time,3.2
D000093,O000093,28,Delivered On Time,3.8
D000094,O000094,14,Delivered On Time,1.8
D000095,O000095,15,Delivered Late,0.7
D000096,O000096,102,Delivered Late,9.7
D000097,O000097,69,Delivered Late,8.2
D000098,O000098,42,Delivered On Time,4.9
