order_id,customer_id,order_date,order_status
O000001,C09732,2024-03-24 00:00:00,Delivered
O000002,C06239,2023-06-27 00:00:00,Delivered
O000003,C08023,2023-04-07 00:00:00,Delivered
O000004,C01051,2024-03-19 00:00:00,Cancelled
O000005,C02847,2024-02-21 00:00:00,Delivered
O000006,C05957,2024-08-17 00:00:00,Delivered
O000007,C00891,2024-03-31 00:00:00,Delivered
O000008,C02648,2023-04-24 00:00:00,Out for Delivery
O000009,C02262,2024-04-07 00:00:00,Delivered
O000010,C02304,2023-03-29 00:00:00,Cancelled
O000011,C02021,2024-09-27 00:00:00,Cancelled
O000012,C00312,2024-09-13 00:00:00,Cancelled
O000013,C02519,2024-04-14 00:00:00,Delivered
O000014,C07026,2024-05-01 00:00:00,Delivered
O000015,C04141,2024-08-04 00:00:00,Delivered
O000016,C09080,2023-09-23 00:00:00,Delivered
O000017,C07999,2024-06-16 00:00:00,Delivered
O000018,C01512,2024-04-03 00:00:00,Delivered
O000019,C04584,2023-01-10 00:00:00,Delivered
O000020,C08879,2023-12-23 00:00:00,Returned
O000021,C01851,2023-05-12 00:00:00,Delivered
O000022,C01735,2023-05-10 00:00:00,Delivered
O000023,C08395,2024-05-02 00:00:00,Cancelled
O000024,C07699,2023-01-13 00:00:00,Delivered
O000025,C04362,2024-09-25 00:00:00,Delivered
O000026,C08229,2024-04-12 00:00:00,Delivered
O000027,C06014,2024-06-22 00:00:00,Delivered
O000028,C09960,2023-05-09 00:00:00,Delivered
O000029,C08072,2024-07-22 00:00:00,Cancelled
O000030,C02381,2024-12-04 00:00:00,Delivered
O000031,C08291,2023-08-28 00:00:00,Delivered
O000032,C09231,2024-12-02 00:00:00,Delivered
O000033,C09681,2024-05-18 00:00:00,Returned
O000034,C09473,2023-08-08 00:00:00,Delivered
O000035,C06891,2023-09-30 00:00:00,Delivered
O000036,C05179,2023-03-11 00:00:00,Delivered
O000037,C02190,2024-12-25 00:00:00,Cancelled
O000038,C01091,2023-01-08 00:00:00,Delivered
O000039,C01086,2023-05-19 00:00:00,Delivered
O000040,C02473,2024-05-05 00:00:00,Delivered
O000041,C06186,2024-11-05 00:00:00,Returned
O000042,C03132,2024-09-13 00:00:00,Delivered
O000043,C09183,2024-12-20 00:00:00,Delivered
O000044,C08043,2024-03-14 00:00:00,Delivered
O000045,C07654,2023-08-22 00:00:00,Out for Delivery
O000046,C02570,2024-03-07 00:00:00,Delivered
O000047,C05032,2023-06-15 00:00:00,Delivered
O000048,C06802,2024-04-05 00:00:00,Delivered
O000049,C00455,2023-03-31 00:00:00,Delivered
O000050,C02179,2023-07-26 00:00:00,Delivered
O000051,C02242,2024-05-12 00:00:00,Delivered
O000052,C04387,2023-09-03 00:00:00,Delivered
O000053,C07500,2023-03-16 00:00:00,Delivered
O000054,C06654,2023-05-26 00:00:00,Delivered
O000055,C07951,2024-02-15 00:00:00,Delivered
O000056,C07878,2024-06-25 00:00:00,Delivered
O000057,C05040,2024-06-18 00:00:00,Delivered
