rating_id,order_id,rating,review
R000001,O008814,5,"On-time delivery, good quality."
R000002,O017887,5,All items were available and fresh.
R000003,O011133,5,"On-time delivery, good quality."
R000004,O012215,2,Items were damaged.
R000005,O015223,5,All items were available and fresh.
R000006,O016418,4,All items were available and fresh.
R000007,O011183,3,"Average experience, could be better."
R000008,O018785,4,Loved the quick delivery.
R000009,O008736,4,"On-time delivery, good quality."
R000010,O016797,5,"On-time delivery, good quality."
R000011,O016225,4,"Great experience, fresh items."
R000012,O010379,5,Nice packaging and fast service.
R000013,O004179,3,Delivery was slightly delayed.
R000014,O019853,5,"Great experience, fresh items."
R000015,O018266,4,All items were available and fresh.
R000016,O019743,5,Nice packaging and fast service.
R000017,O008509,2,Poor quality and service.
R000018,O013689,3,"Average experience, could be better."
R000019,O008410,5,"On-time delivery, good quality."
R000020,O002830,5,Loved the quick delivery.
R000021,O009247,4,Nice packaging and fast service.
R000022,O002271,4,All items were available and fresh.
R000023,O006081,4,"On-time delivery, good quality."
R000024,O017527,5,Nice packaging and fast service.
R000025,O017726,3,Okay service.
R000026,O004752,5,Nice packaging and fast service.
R000027,O016961,2,Poor quality and service.
R000028,O001387,1,"Very bad experience, not ordering again."
R000029,O003861,4,"On-time delivery, good quality."
R000030,O000031,3,Okay service.
R000031,O013616,5,"Great experience, fresh items."
R000032,O006503,1,Items were damaged.
R000033,O014148,2,Late delivery and missing items.
R000034,O010516,5,"Great experience, fresh items."
R000035,O004052,2,"Very bad experience, not ordering again."
R000036,O004556,5,"On-time delivery, good quality."
R000037,O000643,4,All items were available and fresh.
R000038,O014654,4,All items were available and fresh.
R000039,O007857,5,"Great experience, fresh items."
R000040,O017659,3,"Average experience, could be better."
R000041,O000877,3,Delivery was slightly delayed.
R000042,O015895,4,"On-time delivery, good quality."
R000043,O000213,4,Nice packaging and fast service.
R000044,O015408,4,Nice packaging and fast service.
R000045,O005305,5,"Great experience, fresh items."
R000046,O000076,4,"On-time delivery, good quality."
R000047,O009284,5,"On-time delivery, good quality."
R000048,O000315,5,"Great experience, fresh items."
R000049,O012041,5,Loved the quick delivery.
R000050,O002935,3,One or two items were not so fresh.
R000051,O003284,1,Items were damaged.
R000052,O011456,4,"On-time delivery, good quality."
R000053,O016045,3,Delivery was slightly delayed.
R000054,O004729,5,"Great experience, fresh items."
R000055,O008802,1,Poor quality and service.
R000056,O013806,4,"Great experience, fresh items."
R000057,O011280,5,"On-time delivery, good quality."
R000058,O013775,2,Items were damaged.
R000059,O019180,5,Loved the quick delivery.
R000060,O016294,5,Nice packaging and fast service.
R000061,O004019,3,Okay service.
R000062,O010974,4,Nice packaging and fast service.
R000063,O014451,5,Loved the quick delivery.
R000064,O009361,5,Nice packaging and fast service.
R000065,O004443,5,"On-time delivery, good quality."
R000066,O005712,4,Loved the quick delivery.
R000067,O019957,2,"Very bad experience, not ordering again."
R000068,O013330,5,"Great experience, fresh items."
R000069,O001451,4,"On-time delivery, good quality."
R000070,O008358,5,"Great experience, fresh items."
R000071,O003559,5,"On-time delivery, good quality."
R000072,O012046,2,Items were damaged.
R000073,O012165,5,"On-time delivery, good quality."
R000074,O016715,3,"Average experience, could be better."
R000075,O012979,4,"Great experience, fresh items."
R000076,O009418,1,Late delivery and missing items.
R000077,O008898,5,"On-time delivery, good quality."
R000078,O007331,3,Delivery was slightly delayed.
R000079,O009125,4,"Great experience, fresh items."
R000080,O015744,4,"Great experience, fresh items."
R000081,O004997,2,Items were damaged.
R000082,O001397,5,All items were available and fresh.
R000083,O015326,5,All items were available and fresh.
R000084,O012421,4,Nice packaging and fast service.
R000085,O019972,3,Okay service.
R000086,O013232,4,Nice packaging and fast service.
R000087,O008540,5,"Great experience, fresh items."
R000088,O007218,5,Nice packaging and fast service.
R000089,O017592,5,All items were available and fresh.
R000090,O001254,4,"On-time delivery, good quality."
R000091,O016352,5,Nice packaging and fast service.
R000092,O010776,4,All items were available and fresh.
R000093,O017176,3,One or two items were not so fresh.
R000094,O018292,5,All items were available and fresh.
R000095,O005837,5,"On-time delivery, good quality."
R000096,O006018,3,Delivery was slightly delayed.
R000097,O018642,4,All items were available and fresh.
R000098,O002010,5,"On-time delivery, good quality."
R000099,O009489,5,Loved the quick delivery.
R000100,O004575,5,All items were available and fresh.
R000101,O014107,5,"On-time delivery, good quality."
R000102,O000607,5,"Great experience, fresh items."
R000103,O012414,5,Loved the quick delivery.
R000104,O014570,4,All items were available and fresh.
R000105,O005199,2,Late delivery and missing items.
R000106,O003409,5,All items were available and fresh.
R000107,O019828,4,"On-time delivery, good quality."
R000108,O009929,1,Items were damaged.
R000109,O019778,4,"Great experience, fresh items."
R000110,O011811,2,Poor quality and service.
R000111,O012498,4,Loved the quick delivery.
R000112,O010039,5,All items were available and fresh.
R000113,O011873,4,Loved the quick delivery.
R000114,O017789,1,Poor quality and service.
R000115,O017728,5,Nice packaging and fast service.
R000116,O019853,3,Okay service.
R000117,O008929,4,"Great experience, fresh items."
R000118,O000428,4,All items were available and fresh.
R000119,O019852,5,Loved the quick delivery.
R000120,O009461,4,Loved the quick delivery.
R000121,O010268,5,"On-time delivery, good quality."
R000122,O001736,4,All items were available and fresh.
R000123,O007928,4,"Great experience, fresh items."
R000124,O015585,5,All items were available and fresh.
R000125,O004347,4,Nice packaging and fast service.
R000126,O001847,3,Delivery was slightly delayed.
R000127,O015536,4,"On-time delivery, good quality."
R000128,O000427,4,"On-time delivery, good quality."
R000129,O015683,4,"Great experience, fresh items."
R000130,O015733,3,Delivery was slightly delayed.
R000131,O012542,5,"On-time delivery, good quality."
R000132,O001681,4,Loved the quick delivery.
R000133,O004475,5,"Great experience, fresh items."
R000134,O019390,3,"Average experience, could be better."
R000135,O000884,4,Nice packaging and fast service.
R000136,O011315,5,"On-time delivery, good quality."
R000137,O007724,4,"Great experience, fresh items."
R000138,O016133,5,All items were available and fresh.
R000139,O004560,5,"On-time delivery, good quality."
R000140,O013594,4,"Great experience, fresh items."
R000141,O017035,3,One or two items were not so fresh.
R000142,O013001,4,Nice packaging and fast service.
R000143,O000505,5,Nice packaging and fast service.
R000144,O019840,3,"Average experience, could be better."
R000145,O000389,4,"Great experience, fresh items."
R000146,O009685,1,Items were damaged.
R000147,O002165,4,"Great experience, fresh items."
R000148,O003513,5,All items were available and fresh.
R000149,O010011,5,Loved the quick delivery.
R000150,O008849,5,"Great experience, fresh items."
R000151,O000113,4,"On-time delivery, good quality."
R000152,O001334,2,Items were damaged.
R000153,O001116,4,"Great experience, fresh items."
R000154,O016529,5,"On-time delivery, good quality."
R000155,O007607,3,Okay service.
R000156,O003316,5,"On-time delivery, good quality."
R000157,O009635,4,"On-time delivery, good quality."
R000158,O001704,4,All items were available and fresh.
R000159,O005994,5,"On-time delivery, good quality."
R000160,O014493,4,"On-time delivery, good quality."
R000161,O010156,5,Loved the quick delivery.
R000162,O006042,4,All items were available and fresh.
R000163,O013056,4,All items were available and fresh.
R000164,O012181,3,Okay service.
R000165,O007037,5,"On-time delivery, good quality."
R000166,O003647,3,Okay service.
R000167,O005779,2,"Very bad experience, not ordering again."
R000168,O000717,2,"Very bad experience, not ordering again."
R000169,O000285,5,Loved the quick delivery.
R000170,O011266,5,Nice packaging and fast service.
R000171,O003420,4,"On-time delivery, good quality."
R000172,O003871,3,Okay service.
R000173,O004444,1,Poor quality and service.
R000174,O004866,4,All items were available and fresh.
R000175,O016588,5,Loved the quick delivery.
R000176,O000599,3,"Average experience, could be better."
R000177,O014522,4,Nice packaging and fast service.
R000178,O004665,1,"Very bad experience, not ordering again."
R000179,O018869,4,Nice packaging and fast service.
R000180,O013742,4,Loved the quick delivery.
R000181,O013221,3,"Average experience, could be better."
R000182,O003042,5,Loved the quick delivery.
R000183,O010882,4,"On-time delivery, good quality."
R000184,O018805,4,"Great experience, fresh items."
R000185,O010303,3,One or two items were not so fresh.
R000186,O011538,4,Loved the quick delivery.
R000187,O006294,1,"Very bad experience, not ordering again."
R000188,O016126,3,One or two items were not so fresh.
R000189,O003471,5,Nice packaging and fast service.
R000190,O013333,4,"On-time delivery, good quality."
R000191,O009760,4,All items were available and fresh.
R000192,O004878,5,All items were available and fresh.
R000193,O014574,4,Nice packaging and fast service.
R000194,O003407,4,All items were available and fresh.
R000195,O005785,4,"On-time delivery, good quality."
R000196,O005203,5,All items were available and fresh.
R000197,O018872,3,Delivery was slightly delayed.
R000198,O002946,3,Delivery was slightly delayed.
R000199,O007477,4,"Great experience, fresh items."
R000200,O018384,3,One or two items were not so fresh.
R000201,O010750,4,Nice packaging and fast service.
R000202,O006573,4,All items were available and fresh.
R000203,O006650,4,All items were available and fresh.
R000204,O013196,3,One or two items were not so fresh.
R000205,O014735,4,"Great experience, fresh items."
R000206,O017081,4,Nice packaging and fast service.
R000207,O000570,1,Poor quality and service.
R000208,O001922,4,"Great experience, fresh items."
R000209,O014048,4,Loved the quick delivery.
R000210,O006591,5,All items were available and fresh.
R000211,O001323,4,Loved the quick delivery.
R000212,O016033,4,"Great experience, fresh items."
R000213,O015619,5,All items were available and fresh.
R000214,O005601,5,All items were available and fresh.
R000215,O003388,4,Nice packaging and fast service.
R000216,O019641,3,One or two items were not so fresh.
R000217,O005260,4,All items were available and fresh.
R000218,O017449,5,All items were available and fresh.
R000219,O013391,4,All items were available and fresh.
R000220,O000987,4,Nice packaging and fast service.
R000221,O009284,4,"On-time delivery, good quality."
R000222,O015417,5,"Great experience, fresh items."
R000223,O005041,4,Nice packaging and fast service.
R000224,O014852,5,"Great experience, fresh items."
R000225,O000027,4,"On-time delivery, good quality."
R000226,O008643,4,"Great experience, fresh items."
R000227,O012902,5,All items were available and fresh.
R000228,O002513,5,Nice packaging and fast service.
R000229,O005952,5,"Great experience, fresh items."
R000230,O014968,2,"Very bad experience, not ordering again."
R000231,O017045,3,"Average experience, could be better."
R000232,O017580,2,Poor quality and service.
R000233,O008309,4,"On-time delivery, good quality."
R000234,O008726,4,"On-time delivery, good quality."
R000235,O004590,4,All items were available and fresh.
R000236,O001204,3,Okay service.
R000237,O009188,1,"Very bad experience, not ordering again."
R000238,O013690,4,Loved the quick delivery.
R000239,O014783,4,All items were available and fresh.
R000240,O012491,5,Loved the quick delivery.
R000241,O014927,5,"On-time delivery, good quality."
R000242,O014812,5,"On-time delivery, good quality."
R000243,O013664,5,Nice packaging and fast service.
R000244,O015952,3,Okay service.
R000245,O002783,3,Okay service.
R000246,O017330,5,Nice packaging and fast service.
R000247,O007297,5,Loved the quick delivery.
R000248,O008164,3,Delivery was slightly delayed.
R000249,O002808,3,Okay service.
R000250,O009794,5,Loved the quick delivery.
R000251,O011791,3,Delivery was slightly delayed.
R000252,O014958,5,All items were available and fresh.
R000253,O012032,5,"On-time delivery, good quality."
R000254,O007677,5,Nice packaging and fast service.
R000255,O012763,1,"Very bad experience, not ordering again."
R000256,O013173,5,Loved the quick delivery.
R000257,O000485,4,"Great experience, fresh items."
R000258,O004524,5,All items were available and fresh.
R000259,O011250,2,Late delivery and missing items.
R000260,O019319,5,Loved the quick delivery.
R000261,O001393,5,All items were available and fresh.
R000262,O017945,2,Poor quality and service.
R000263,O008402,5,"Great experience, fresh items."
R000264,O010895,3,Okay service.
R000265,O009209,4,"Great experience, fresh items."
R000266,O001458,1,Poor quality and service.
R000267,O006040,4,Loved the quick delivery.
R000268,O016378,5,"Great experience, fresh items."
R000269,O013899,5,Loved the quick delivery.
R000270,O007232,3,"Average experience, could be better."
R000271,O001657,5,Nice packaging and fast service.
R000272,O010630,2,Items were damaged.
R000273,O013844,3,Delivery was slightly delayed.
R000274,O009855,4,"Great experience, fresh items."
R000275,O014196,5,All items were available and fresh.
R000276,O010261,5,Loved the quick delivery.
R000277,O007891,4,"Great experience, fresh items."
R000278,O004808,4,"On-time delivery, good quality."
R000279,O018949,4,"On-time delivery, good quality."
R000280,O015965,4,"Great experience, fresh items."
R000281,O005574,3,Delivery was slightly delayed.
R000282,O000772,4,Loved the quick delivery.
R000283,O006679,4,All items were available and fresh.
R000284,O008364,3,"Average experience, could be better."
R000285,O009211,5,Nice packaging and fast service.
R000286,O006659,5,Nice packaging and fast service.
R000287,O009581,4,All items were available and fresh.
R000288,O013674,5,"Great experience, fresh items."
R000289,O007059,4,Nice packaging and fast service.
R000290,O019859,5,"On-time delivery, good quality."
R000291,O019356,5,Nice packaging and fast service.
R000292,O001541,5,"Great experience, fresh items."
R000293,O016669,4,Nice packaging and fast service.
R000294,O017714,4,Loved the quick delivery.
R000295,O009309,3,Okay service.
R000296,O011465,5,Nice packaging and fast service.
R000297,O010273,3,One or two items were not so fresh.
R000298,O004312,5,All items were available and fresh.
R000299,O018819,2,"Very bad experience, not ordering again."
R000300,O006336,1,Late delivery and missing items.
R000301,O015503,4,"On-time delivery, good quality."
R000302,O014046,4,"On-time delivery, good quality."
R000303,O005912,4,Nice packaging and fast service.
R000304,O012292,3,"Average experience, could be better."
R000305,O013333,5,"Great experience, fresh items."
R000306,O010554,3,One or two items were not so fresh.
R000307,O002381,4,Loved the quick delivery.
R000308,O004126,5,All items were available and fresh.
R000309,O016982,4,"On-time delivery, good quality."
R000310,O002482,5,All items were available and fresh.
R000311,O008631,4,Loved the quick delivery.
R000312,O000791,4,"Great experience, fresh items."
R000313,O002353,5,"Great experience, fresh items."
R000314,O016139,2,Poor quality and service.
R000315,O004693,4,All items were available and fresh.
R000316,O002392,3,Okay service.
R000317,O008590,5,"On-time delivery, good quality."
R000318,O017075,3,"Average experience, could be better."
R000319,O000030,5,Loved the quick delivery.
R000320,O006715,4,Nice packaging and fast service.
R000321,O019112,5,"On-time delivery, good quality."
R000322,O007191,4,"Great experience, fresh items."
R000323,O003421,5,Loved the quick delivery.
R000324,O004149,3,Okay service.
R000325,O012176,3,"Average experience, could be better."
R000326,O015805,4,"Great experience, fresh items."
R000327,O011992,2,Poor quality and service.
R000328,O010388,5,"Great experience, fresh items."
R000329,O018740,4,Nice packaging and fast service.
R000330,O014245,5,Loved the quick delivery.
R000331,O010279,5,Loved the quick delivery.
R000332,O017123,1,Items were damaged.
R000333,O001092,2,Poor quality and service.
R000334,O014086,5,"On-time delivery, good quality."
R000335,O004892,5,"On-time delivery, good quality."
R000336,O015201,3,One or two items were not so fresh.
R000337,O005050,5,"Great experience, fresh items."
R000338,O000222,5,"Great experience, fresh items."
R000339,O010306,3,Okay service.
R000340,O001850,3,Okay service.
R000341,O001141,5,Loved the quick delivery.
R000342,O010906,3,One or two items were not so fresh.
R000343,O013333,4,"Great experience, fresh items."
R000344,O013229,1,Late delivery and missing items.
R000345,O003270,4,Nice packaging and fast service.
R000346,O014856,5,Loved the quick delivery.
R000347,O017720,4,Nice packaging and fast service.
R000348,O011749,4,Loved the quick delivery.
R000349,O003752,4,"Great experience, fresh items."
R000350,O001782,4,Nice packaging and fast service.
R000351,O008645,5,"On-time delivery, good quality."
R000352,O007198,3,Delivery was slightly delayed.
