transaction_id,order_id,product_id,quantity,amount,payment_mode
T000001,O003066,P00266,1,20,UPI
T000002,O013652,P00484,2,380,Debit Card
T000003,O007683,P00744,5,3300,Credit Card
T000004,O006182,P00520,3,480,Cash on Delivery
T000005,O016722,P00158,2,240,UPI
T000006,O019174,P00242,4,440,Debit Card
T000007,O002396,P00024,4,1560,UPI
T000008,O000782,P00075,3,1350,UPI
T000009,O002610,P00067,3,1440,Credit Card
T000010,O004555,P01133,3,1920,Debit Card
T000011,O000851,P00555,3,450,UPI
T000012,O014997,P00060,5,700,Wallet
T000013,O011064,P00237,5,900,UPI
T000014,O001188,P00826,1,500,Cash on Delivery
T000015,O007674,P00029,1,120,UPI
T000016,O006627,P00069,1,380,UPI
T000017,O010568,P00379,2,140,Debit Card
T000018,O009716,P00604,1,120,Debit Card
T000019,O005675,P00689,3,240,Cash on Delivery
T000020,O011768,P00469,5,1450,Cash on Delivery
T000021,O012020,P01006,1,570,UPI
T000022,O011405,P00875,4,440,UPI
T000023,O013770,P00843,1,170,Cash on Delivery
T000024,O001168,P00740,5,900,UPI
T000025,O017110,P00466,1,240,Credit Card
T000026,O012712,P01077,1,80,UPI
T000027,O009169,P00869,3,1410,Net Banking
T000028,O012729,P00163,4,920,UPI
T000029,O012510,P00292,1,410,UPI
T000030,O009302,P00159,2,200,Cash on Delivery
T000031,O007966,P00010,3,270,Cash on Delivery
T000032,O005037,P00569,5,750,UPI
T000033,O014612,P01159,1,80,UPI
T000034,O003924,P00188,5,650,Debit Card
T000035,O015156,P00097,4,240,Credit Card
T000036,O005983,P00190,1,90,UPI
T000037,O003431,P00085,5,1650,Credit Card
T000038,O002886,P00629,5,800,Debit Card
T000039,O012144,P01079,5,300,Cash on Delivery
T000040,O017510,P00352,1,50,UPI
T000041,O004068,P00490,4,920,Credit Card
T000042,O009719,P00527,2,200,Debit Card
T000043,O000183,P00725,2,460,UPI
T000044,O019619,P00268,2,960,UPI
T000045,O011762,P00700,5,350,UPI
T000046,O012459,P00775,5,2250,Net Banking
T000047,O002628,P01088,4,2120,UPI
T000048,O002708,P00398,5,1300,Cash on Delivery
T000049,O013974,P00971,1,590,UPI
T000050,O011662,P00743,2,880,Credit Card
T000051,O003639,P00391,5,450,UPI
T000052,O005245,P00657,3,600,Cash on Delivery
T000053,O017736,P00147,3,1770,Debit Card
T000054,O008283,P00178,5,1900,UPI
T000055,O008253,P00276,5,1650,Net Banking
T000056,O017305,P00353,4,400,Credit Card
T000057,O016569,P00416,1,170,UPI
T000058,O015951,P00253,2,320,Credit Card
T000059,O007067,P00614,1,120,UPI
T000060,O011321,P00623,1,70,Net Banking
T000061,O002880,P00356,5,1250,UPI
T000062,O007880,P01158,1,150,Credit Card
T000063,O018130,P00181,4,600,Debit Card
T000064,O011648,P00075,2,900,UPI
T000065,O001108,P00568,5,1700,Credit Card
T000066,O014062,P00610,4,800,Net Banking
T000067,O010389,P00954,2,540,Credit Card
T000068,O010801,P00290,4,520,Credit Card
T000069,O018870,P00133,1,470,UPI
T000070,O017573,P00772,1,250,Cash on Delivery
T000071,O006035,P00816,5,300,UPI
T000072,O018119,P00322,3,1470,UPI
T000073,O005705,P00765,1,100,Credit Card
T000074,O008619,P01088,3,1590,UPI
T000075,O015413,P00144,4,1200,UPI
T000076,O000010,P00986,3,1170,Debit Card
T000077,O017252,P00184,4,640,Cash on Delivery
T000078,O004336,P00020,4,480,Wallet
T000079,O019000,P00245,2,120,Debit Card
T000080,O001962,P00122,1,600,UPI
T000081,O000085,P00305,5,1450,UPI
T000082,O017311,P00990,3,630,UPI
T000083,O008028,P00426,3,1380,UPI
T000084,O005439,P01018,5,1050,Credit Card
T000085,O012826,P00271,5,850,Cash on Delivery
T000086,O019785,P00919,2,200,UPI
T000087,O007305,P01045,1,300,Credit Card
T000088,O019825,P00915,2,380,UPI
T000089,O013234,P00403,4,480,Cash on Delivery
T000090,O006769,P00196,3,870,Debit Card
T000091,O008212,P00152,2,140,UPI
T000092,O019898,P00825,4,2040,UPI
T000093,O005124,P00565,4,520,UPI
T000094,O001393,P01197,5,750,Credit Card
T000095,O005097,P00014,2,740,Debit Card
T000096,O000788,P00377,3,750,Debit Card
T000097,O017328,P00974,5,550,Cash on Delivery
T000098,O011078,P00051,2,380,Debit Card
T000099,O005750,P00587,3,570,Debit Card
T000100,O018439,P00849,4,1240,UPI
T000101,O016404,P00952,4,400,UPI
T000102,O012530,P00965,4,480,UPI
T000103,O010741,P00718,3,630,UPI
T000104,O012103,P00322,3,1470,UPI
T000105,O013483,P01057,3,360,UPI
T000106,O016499,P00043,2,300,Debit Card
T000107,O017741,P01184,3,300,UPI
T000108,O002990,P00476,4,1160,UPI
T000109,O004510,P01160,3,570,Credit Card
T000110,O011346,P00187,3,390,UPI
T000111,O007573,P00848,2,260,UPI
T000112,O016046,P00956,5,200,UPI
T000113,O006809,P00408,3,630,UPI
T000114,O000056,P00621,1,120,UPI
T000115,O017926,P00073,1,130,UPI
T000116,O007063,P00821,5,200,UPI
T000117,O002386,P00254,3,1020,Credit Card
T000118,O017537,P00978,1,220,Credit Card
T000119,O000711,P00888,4,160,Debit Card
T000120,O015630,P00797,2,40,Cash on Delivery
T000121,O014264,P00393,4,2120,Debit Card
T000122,O004811,P00690,1,450,Debit Card
T000123,O012733,P00833,1,30,Debit Card
T000124,O000086,P00879,3,900,UPI
T000125,O019011,P00351,4,840,UPI
T000126,O004295,P00036,4,280,UPI
T000127,O015340,P01120,3,330,UPI
T000128,O014338,P00785,5,1350,UPI
T000129,O005525,P01183,1,100,UPI
T000130,O001869,P00218,5,1300,UPI
T000131,O006866,P00519,4,960,UPI
T000132,O012328,P01018,2,420,Cash on Delivery
T000133,O016586,P00958,2,220,Debit Card
T000134,O008568,P00527,4,400,UPI
T000135,O009483,P00525,5,350,UPI
T000136,O000542,P01023,2,120,UPI
T000137,O005474,P00274,5,750,Credit Card
T000138,O003341,P00581,3,690,UPI
T000139,O008291,P00418,2,140,Credit Card
T000140,O013718,P00338,1,160,UPI
T000141,O000679,P01068,2,320,UPI
T000142,O015144,P00045,1,180,Net Banking
T000143,O010445,P00815,3,1020,UPI
T000144,O007594,P00291,5,500,UPI
T000145,O004385,P00325,2,340,UPI
T000146,O005477,P00214,1,180,UPI
T000147,O000003,P00304,2,120,Net Banking
T000148,O002645,P00455,3,720,UPI
T000149,O017846,P00128,5,1400,Net Banking
T000150,O007604,P00077,3,330,UPI
T000151,O004589,P00115,2,80,Wallet
T000152,O014646,P00529,4,1920,Cash on Delivery
T000153,O005533,P00836,4,400,UPI
T000154,O006297,P00494,4,1640,UPI
T000155,O005080,P00483,5,550,Credit Card
T000156,O017100,P00344,1,260,Debit Card
T000157,O000231,P00941,3,690,UPI
T000158,O000709,P00349,1,510,Credit Card
T000159,O006077,P00748,5,2950,UPI
T000160,O016757,P00932,2,700,UPI
T000161,O016309,P00354,3,360,UPI
T000162,O000682,P01132,2,280,Wallet
T000163,O012616,P01098,4,920,UPI
T000164,O002912,P00629,1,160,UPI
T000165,O018036,P00119,5,1100,UPI
T000166,O015584,P00891,2,1540,Debit Card
T000167,O012051,P00696,5,1200,Net Banking
T000168,O019297,P00533,4,1560,Credit Card
T000169,O015480,P00587,1,190,UPI
T000170,O016368,P00216,1,270,Debit Card
T000171,O014277,P00106,5,2950,UPI
T000172,O001334,P00322,5,2450,Credit Card
T000173,O018797,P00203,5,650,UPI
T000174,O007658,P00422,4,720,UPI
T000175,O014584,P01172,1,210,UPI
T000176,O015735,P00235,3,180,UPI
T000177,O005095,P01079,1,60,UPI
T000178,O008129,P00141,2,780,Credit Card
T000179,O011044,P00107,1,130,Net Banking
T000180,O017766,P00372,5,1100,UPI
T000181,O015759,P00175,2,1100,UPI
T000182,O015846,P00601,2,300,UPI
T000183,O004908,P00061,3,570,UPI
T000184,O004594,P00451,4,200,Cash on Delivery
T000185,O013551,P00268,1,480,Wallet
T000186,O001020,P00510,5,600,Cash on Delivery
T000187,O011806,P00186,5,1050,UPI
T000188,O016294,P01038,5,4000,UPI
T000189,O014072,P00699,3,210,Credit Card
T000190,O014095,P00550,3,810,Net Banking
T000191,O008823,P00922,3,390,Credit Card
T000192,O002954,P00731,4,840,UPI
T000193,O017831,P00598,3,690,UPI
T000194,O014885,P00970,2,640,UPI
T000195,O011736,P00470,2,340,UPI
T000196,O014873,P00377,3,750,Credit Card
T000197,O009863,P00253,3,480,UPI
T000198,O008550,P00804,5,2550,UPI
T000199,O008209,P00262,4,720,Credit Card
T000200,O004143,P01131,5,1100,Credit Card
T000201,O008370,P00459,5,3300,Debit Card
T000202,O001899,P00460,2,340,Debit Card
T000203,O004356,P00520,2,320,UPI
T000204,O011088,P01045,1,300,UPI
T000205,O005965,P00257,5,2200,Credit Card
T000206,O018767,P00310,4,360,UPI
T000207,O018666,P00804,4,2040,Debit Card
T000208,O008397,P00533,4,1560,UPI
T000209,O009454,P00093,3,450,UPI
T000210,O016595,P01199,4,800,UPI
T000211,O000322,P01124,1,420,Net Banking
T000212,O015602,P00067,2,960,UPI
T000213,O000289,P00237,3,540,Net Banking
T000214,O001126,P00871,2,460,Wallet
T000215,O012590,P00245,1,60,UPI
T000216,O002432,P00773,2,740,UPI
T000217,O000293,P00976,2,240,UPI
T000218,O004692,P00266,3,60,Debit Card
T000219,O007716,P00891,3,2310,UPI
T000220,O000966,P00938,2,200,UPI
T000221,O007899,P01051,3,1110,UPI
T000222,O019205,P00977,5,1150,UPI
T000223,O016404,P00421,4,800,UPI
T000224,O001424,P00045,3,540,Credit Card
T000225,O016718,P00809,5,650,Debit Card
T000226,O010331,P00847,5,3700,UPI
T000227,O013688,P00292,1,410,UPI
T000228,O004819,P00662,1,560,UPI
T000229,O013946,P00623,2,140,UPI
T000230,O009439,P00919,4,400,Cash on Delivery
T000231,O008407,P00058,1,400,Credit Card
T000232,O014302,P00435,1,130,Credit Card
T000233,O006478,P00522,3,300,Debit Card
T000234,O002166,P00483,3,330,Net Banking
T000235,O003756,P00170,3,840,UPI
T000236,O000878,P00213,5,1950,Cash on Delivery
T000237,O017905,P00019,3,780,Credit Card
T000238,O001729,P00996,1,200,UPI
T000239,O015546,P01082,3,510,Debit Card
T000240,O008581,P00620,2,420,Credit Card
T000241,O011211,P00335,4,400,UPI
T000242,O019296,P00160,1,80,UPI
T000243,O018189,P01073,5,1100,UPI
T000244,O005032,P00200,5,500,UPI
T000245,O016053,P00645,5,1800,Credit Card
T000246,O006085,P00508,1,670,UPI
T000247,O001303,P00236,5,450,Cash on Delivery
T000248,O004841,P00704,2,800,Cash on Delivery
T000249,O012355,P00532,3,450,UPI
T000250,O003651,P01032,3,630,UPI
T000251,O016122,P01150,2,780,Credit Card
T000252,O005942,P00056,3,450,Debit Card
T000253,O019617,P00469,1,290,Net Banking
